DP,munic,Regiao,mes_ano,roubo_veiculo,roubo_transeunte,roubo_rua,roubo_celular,furto_transeunte,furto_veiculos,furto_celular,ameaca,lesao_corp_culposa,lesao_corp_dolosa,recuperacao_veiculos
1,Rio de Janeiro,Capital,2018m01,5,49,67,13,52,5,23,7,7,9,2
1,Rio de Janeiro,Capital,2018m02,2,85,136,44,115,4,95,5,6,15,2
1,Rio de Janeiro,Capital,2018m03,4,52,75,22,69,2,33,10,5,12,3
1,Rio de Janeiro,Capital,2018m04,6,64,89,23,46,4,31,8,6,7,3
1,Rio de Janeiro,Capital,2018m05,6,61,87,18,39,1,22,9,4,10,0
1,Rio de Janeiro,Capital,2018m06,3,61,81,19,42,1,39,9,6,12,0
1,Rio de Janeiro,Capital,2018m07,2,88,127,33,82,2,60,13,8,11,2
1,Rio de Janeiro,Capital,2018m08,1,76,97,14,63,5,22,11,15,24,1
1,Rio de Janeiro,Capital,2018m09,2,69,93,14,73,3,29,11,6,15,2
1,Rio de Janeiro,Capital,2018m10,2,80,107,14,74,2,26,9,9,6,0
1,Rio de Janeiro,Capital,2018m11,2,106,145,32,74,2,40,12,10,14,0
1,Rio de Janeiro,Capital,2018m12,4,123,158,24,85,2,34,9,12,6,0
1,Rio de Janeiro,Capital,2019m01,2,97,129,20,72,2,47,11,5,10,1
1,Rio de Janeiro,Capital,2019m02,1,106,152,31,125,6,74,9,7,7,3
1,Rio de Janeiro,Capital,2019m03,2,142,213,53,221,4,84,10,11,24,1
1,Rio de Janeiro,Capital,2019m04,1,97,134,20,63,5,25,11,2,13,3
1,Rio de Janeiro,Capital,2019m05,0,58,84,14,45,5,23,12,8,10,0
1,Rio de Janeiro,Capital,2019m06,1,50,83,23,53,2,25,10,12,19,1
1,Rio de Janeiro,Capital,2019m07,2,63,87,15,58,2,38,9,3,13,0
1,Rio de Janeiro,Capital,2019m08,2,50,79,26,42,2,27,13,4,8,0
1,Rio de Janeiro,Capital,2019m09,0,57,78,10,42,2,25,10,7,11,1
1,Rio de Janeiro,Capital,2019m10,0,42,81,25,55,2,36,15,7,21,0
1,Rio de Janeiro,Capital,2019m11,0,71,116,26,131,4,91,18,5,9,0
1,Rio de Janeiro,Capital,2019m12,1,58,109,21,53,4,60,9,7,8,1
1,Rio de Janeiro,Capital,2020m01,0,62,107,32,60,5,54,8,2,8,1
1,Rio de Janeiro,Capital,2020m02,0,108,152,31,103,4,121,15,6,23,0
1,Rio de Janeiro,Capital,2020m03,1,78,109,25,65,5,59,8,2,11,1
1,Rio de Janeiro,Capital,2020m04,1,19,31,9,9,7,14,3,1,2,2
1,Rio de Janeiro,Capital,2020m05,0,29,32,3,4,8,1,4,0,5,0
1,Rio de Janeiro,Capital,2020m06,1,22,35,8,12,7,10,3,0,3,1
1,Rio de Janeiro,Capital,2020m07,0,58,85,20,27,2,19,9,4,4,0
1,Rio de Janeiro,Capital,2020m08,0,58,70,4,38,5,16,5,1,7,2
1,Rio de Janeiro,Capital,2020m09,0,74,88,9,41,6,22,5,1,9,1
1,Rio de Janeiro,Capital,2020m10,0,74,98,15,49,2,25,11,5,2,1
1,Rio de Janeiro,Capital,2020m11,0,70,97,19,31,3,28,8,3,10,1
1,Rio de Janeiro,Capital,2020m12,1,86,108,17,50,3,25,11,2,12,0
1,Rio de Janeiro,Capital,2021m01,0,74,102,17,32,4,20,13,4,15,1
1,Rio de Janeiro,Capital,2021m02,0,53,77,12,23,1,25,13,3,7,1
1,Rio de Janeiro,Capital,2021m03,0,63,93,21,48,2,19,19,5,10,3
1,Rio de Janeiro,Capital,2021m04,0,39,64,11,21,2,15,7,5,6,0
1,Rio de Janeiro,Capital,2021m05,0,36,57,12,24,3,8,6,3,4,0
1,Rio de Janeiro,Capital,2021m06,0,42,56,6,29,3,19,6,3,6,1
1,Rio de Janeiro,Capital,2021m07,3,47,65,10,30,1,20,13,4,16,0
1,Rio de Janeiro,Capital,2021m08,0,35,50,14,22,1,21,5,0,6,0
1,Rio de Janeiro,Capital,2021m09,0,40,53,9,23,0,23,5,1,6,2
1,Rio de Janeiro,Capital,2021m10,2,26,43,13,16,2,15,12,2,9,0
1,Rio de Janeiro,Capital,2021m11,1,57,72,13,49,2,22,8,0,7,2
1,Rio de Janeiro,Capital,2021m12,0,50,65,11,39,0,27,6,2,8,6
1,Rio de Janeiro,Capital,2022m01,1,31,36,4,35,3,57,5,2,8,0
1,Rio de Janeiro,Capital,2022m02,1,61,68,5,121,2,79,10,0,6,0
1,Rio de Janeiro,Capital,2022m03,0,76,97,18,142,2,130,11,0,13,1
1,Rio de Janeiro,Capital,2022m04,0,91,115,23,214,9,133,18,4,9,0
1,Rio de Janeiro,Capital,2022m05,1,65,77,9,89,7,49,7,3,11,0
1,Rio de Janeiro,Capital,2022m06,3,50,62,8,73,5,42,10,2,4,0
4,Rio de Janeiro,Capital,2018m01,15,63,78,12,71,4,37,19,21,19,26
4,Rio de Janeiro,Capital,2018m02,9,67,107,29,59,3,40,13,13,18,11
4,Rio de Janeiro,Capital,2018m03,8,61,99,21,58,5,43,12,24,21,18
4,Rio de Janeiro,Capital,2018m04,7,88,129,24,48,2,26,16,29,19,19
4,Rio de Janeiro,Capital,2018m05,10,69,105,19,56,1,31,18,11,13,6
4,Rio de Janeiro,Capital,2018m06,5,60,95,24,62,3,30,33,14,21,10
4,Rio de Janeiro,Capital,2018m07,6,70,115,16,63,4,45,12,12,22,7
4,Rio de Janeiro,Capital,2018m08,3,95,169,30,68,6,40,20,20,21,9
4,Rio de Janeiro,Capital,2018m09,5,105,161,30,59,2,40,16,17,26,7
4,Rio de Janeiro,Capital,2018m10,6,88,129,23,57,6,39,20,9,24,22
4,Rio de Janeiro,Capital,2018m11,8,83,127,20,64,6,45,18,8,17,24
4,Rio de Janeiro,Capital,2018m12,12,84,122,20,50,4,44,16,25,17,14
4,Rio de Janeiro,Capital,2019m01,9,75,117,21,66,6,48,12,17,19,4
4,Rio de Janeiro,Capital,2019m02,11,65,123,20,62,5,35,12,15,22,10
4,Rio de Janeiro,Capital,2019m03,8,73,119,18,63,3,27,15,8,20,4
4,Rio de Janeiro,Capital,2019m04,8,59,112,10,51,1,22,15,9,30,9
4,Rio de Janeiro,Capital,2019m05,6,62,128,17,73,10,32,10,18,22,7
4,Rio de Janeiro,Capital,2019m06,12,52,81,13,60,3,40,8,18,18,11
4,Rio de Janeiro,Capital,2019m07,7,53,89,19,64,2,67,19,22,16,6
4,Rio de Janeiro,Capital,2019m08,4,39,83,22,62,1,41,7,21,9,4
4,Rio de Janeiro,Capital,2019m09,4,47,70,14,53,3,33,8,9,14,2
4,Rio de Janeiro,Capital,2019m10,6,32,69,14,65,7,41,9,11,15,6
4,Rio de Janeiro,Capital,2019m11,4,56,109,25,79,5,61,11,11,27,2
4,Rio de Janeiro,Capital,2019m12,11,38,80,22,49,4,39,15,7,25,4
4,Rio de Janeiro,Capital,2020m01,4,59,99,19,66,5,50,10,8,27,5
4,Rio de Janeiro,Capital,2020m02,9,56,86,21,80,4,68,12,9,27,0
4,Rio de Janeiro,Capital,2020m03,5,40,57,13,37,1,29,3,1,13,3
4,Rio de Janeiro,Capital,2020m04,3,11,14,3,3,3,4,4,2,3,1
4,Rio de Janeiro,Capital,2020m05,5,8,15,6,6,0,6,1,3,8,2
4,Rio de Janeiro,Capital,2020m06,5,16,24,6,8,2,7,5,1,10,0
4,Rio de Janeiro,Capital,2020m07,5,31,39,6,23,6,12,3,8,8,5
4,Rio de Janeiro,Capital,2020m08,6,22,30,6,26,2,15,11,5,14,2
4,Rio de Janeiro,Capital,2020m09,5,38,51,10,21,2,16,14,4,14,5
4,Rio de Janeiro,Capital,2020m10,3,42,67,14,28,2,24,11,5,17,3
4,Rio de Janeiro,Capital,2020m11,10,53,84,27,46,5,38,13,9,26,3
4,Rio de Janeiro,Capital,2020m12,1,54,74,12,34,1,23,10,5,20,5
4,Rio de Janeiro,Capital,2021m01,1,30,60,14,42,1,24,21,4,15,1
4,Rio de Janeiro,Capital,2021m02,3,32,56,18,28,4,25,13,0,19,2
4,Rio de Janeiro,Capital,2021m03,4,35,64,14,27,3,19,12,12,15,3
4,Rio de Janeiro,Capital,2021m04,0,28,54,2,24,0,21,15,5,15,5
4,Rio de Janeiro,Capital,2021m05,7,31,67,14,26,3,24,8,4,9,7
4,Rio de Janeiro,Capital,2021m06,6,37,71,9,30,2,21,8,10,17,1
4,Rio de Janeiro,Capital,2021m07,4,31,54,9,21,4,17,12,9,13,1
4,Rio de Janeiro,Capital,2021m08,1,38,57,7,18,1,19,10,11,24,1
4,Rio de Janeiro,Capital,2021m09,1,27,46,10,19,3,19,9,3,21,3
4,Rio de Janeiro,Capital,2021m10,2,34,57,9,30,3,20,14,3,12,5
4,Rio de Janeiro,Capital,2021m11,2,47,64,15,33,6,37,12,4,20,1
4,Rio de Janeiro,Capital,2021m12,2,30,45,10,44,1,31,10,6,16,14
4,Rio de Janeiro,Capital,2022m01,4,43,63,9,53,2,49,15,7,14,0
4,Rio de Janeiro,Capital,2022m02,4,50,83,20,61,4,110,14,2,13,1
4,Rio de Janeiro,Capital,2022m03,1,56,101,28,91,3,144,18,9,32,1
4,Rio de Janeiro,Capital,2022m04,5,74,113,22,123,3,106,15,12,15,2
4,Rio de Janeiro,Capital,2022m05,6,65,116,26,54,3,71,10,6,18,2
4,Rio de Janeiro,Capital,2022m06,4,51,105,34,45,4,59,10,13,13,3
5,Rio de Janeiro,Capital,2018m01,7,121,165,36,115,7,77,32,11,46,5
5,Rio de Janeiro,Capital,2018m02,5,189,267,69,185,6,111,39,6,70,4
5,Rio de Janeiro,Capital,2018m03,13,147,195,39,71,2,44,29,14,39,4
5,Rio de Janeiro,Capital,2018m04,14,109,141,26,84,10,30,28,23,37,8
5,Rio de Janeiro,Capital,2018m05,7,124,158,27,74,10,41,38,19,33,15
5,Rio de Janeiro,Capital,2018m06,8,135,188,44,63,10,40,27,23,46,9
5,Rio de Janeiro,Capital,2018m07,15,107,163,33,70,7,62,14,20,36,10
5,Rio de Janeiro,Capital,2018m08,7,136,187,38,61,6,43,37,10,46,18
5,Rio de Janeiro,Capital,2018m09,7,103,153,37,56,12,32,26,14,47,21
5,Rio de Janeiro,Capital,2018m10,9,126,165,31,68,10,70,22,13,31,17
5,Rio de Janeiro,Capital,2018m11,15,175,222,36,81,7,45,32,10,42,5
5,Rio de Janeiro,Capital,2018m12,11,154,219,53,89,5,48,31,18,41,8
5,Rio de Janeiro,Capital,2019m01,14,131,196,38,71,6,50,29,13,37,9
5,Rio de Janeiro,Capital,2019m02,6,232,357,56,110,6,72,35,11,42,6
5,Rio de Janeiro,Capital,2019m03,2,310,440,96,346,4,187,22,5,69,1
